basket,n,term_m,prot_bar,coupon,status
QCOM/LI/NFLX/AMZN/MSFT,5,60,0.55,16.8,ok
QCOM/LI/NFLX/AMZN/MSFT,5,60,0.55,16.9,ok
QCOM/LI/NFLX/AMZN/MSFT,5,60,0.55,17.1,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.55,16.6,ok
QCOM/LI/NFLX/AMZN/MSFT,5,60,0.55,17.2,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.55,14.7,ok
QCOM/LI/NFLX/AMZN/MSFT,5,48,0.6,28.9,ok
QCOM/LI/NFLX/AMZN/MSFT,5,48,0.85,13.9,ok
QCOM/LI/NFLX/AMZN/MSFT,5,48,0.85,10.1,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.55,15.0,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.55,13.8,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.55,13.1,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.6,17.6,ok
LI/TSLA/NFLX/RACE/AMZN/MSFT,6,48,0.6,11.7,ok
LI/DELL/NFLX/RACE/AMZN/MSFT,6,48,0.6,13.5,ok
LI/AMD/NFLX/RACE/AMZN/MSFT,6,48,0.6,13.2,ok
LI/ALB/NFLX/RACE/AMZN/MSFT,6,48,0.6,12.7,ok
LI/ORCL/NFLX/RACE/AMZN/MSFT,6,48,0.6,12.9,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.6,10.8,ok
LI/BABA/NFLX/RACE/AMZN/MSFT,6,48,0.6,10.4,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.6,10.2,ok
ABNB/ADBE/ALGN/AMZN/DAL/DVN,6,60,0.85,23.0,ok
ABNB/ADBE/ALGN/AMZN/DAL/DVN,6,60,0.85,59.2,ok
ABNB/ADBE/ALGN/AMZN/DAL/DVN,6,60,0.85,70.2,ok
ABBV/ABNB/ADBE/ALB/ALGN/AMZN,6,36,0.85,88.0,no_coupon
XPEV/APA/CF/STLA,4,3,0.65,28.9,ok
XPEV/APA/CF/STLA,4,3,0.65,30.2,ok
XPEV/APA/CF/STLA,4,3,0.65,31.4,ok
XPEV/APA/CF/STLA,4,3,0.7,46.4,ok
XPEV/APA/CF/STLA,4,3,0.7,46.2,ok
XPEV/APA/CF/STLA,4,3,0.6,14.1,ok
XPEV/APA/CF/STLA,4,6,0.6,24.1,ok
XPEV/APA/CF/STLA,4,6,0.6,22.6,ok
XPEV/APA/CF/STLA,4,6,0.6,21.1,ok
SHOP/DASH/HWM/DKNG/ORCL/BKNG,6,24,0.6,20.3,ok
NET/ORCL/CRM/SPOT/NKE/MOS,6,24,0.6,20.7,ok
MCD/SHOP/NET/ORCL/MOS/NFLX,6,24,0.6,20.1,ok
APA/STLA/LYB/GOOG,4,6,0.6,5.5,ok
APA/STLA/LYB/SE,4,6,0.6,16.6,ok
APA/STLA/LYB/CRM,4,6,0.6,10.3,ok
APA/STLA/LYB/ALB,4,6,0.6,18.4,ok
APA/GOOG/CRM/ALB,4,6,0.6,13.9,ok
APA/GOOG/NVDA/ALB,4,6,0.6,11.9,ok
APA/GOOG/MSFT/ALB,4,6,0.6,7.6,ok
ABBV/ADBE,2,12,0.6,,reject_margin
CRM/GOOG/MSFT/NVDA,4,6,0.6,,reject_margin
WMT/IBM/M/NVDA/ORCL/ADBE,6,24,0.6,12.2,ok
MCD/SHOP/NET/IBM/MA/NFLX,6,24,0.6,15.4,ok
MCD/SHOP/NET/IBM/MA/NFLX,6,24,0.6,11.7,ok
CF/MDB/ALB/SHOP/DDOG/ORCL,6,24,0.6,21.9,ok
WMT/IBM/M/NVDA/ORCL/ADBE,6,24,0.6,12.2,ok
CF/MDB/ALB/SHOP/DDOG/ORCL,6,24,0.6,23.1,ok
ALB/ORCL/OKTA/MDB,4,6,0.6,29.8,ok
ALB/ORCL/OKTA/MDB,4,6,0.6,28.2,ok
ALB/ORCL/OKTA/MDB,4,6,0.6,34.8,ok
ALB/ORCL/OKTA/MDB,4,6,0.6,34.8,ok
ALB/ORCL/MBLY/APA,4,6,0.6,37.4,ok
ALB/ORCL/OKTA/MBLY,4,6,0.6,39.2,ok
ALB/ORCL/OKTA/APA,4,6,0.6,28.6,ok
ALB/ORCL/MDB/APA,4,6,0.6,35.8,ok
ALB/ORCL/OKTA/MDB,4,6,0.6,35.9,ok
ALB/ORCL/OKTA/APA,4,6,0.6,28.6,ok
CF/MDB/ALB/ORCL,4,6,0.6,35.3,ok
UNH/AMZN/VZ/PEP/NFLX/TSLA,6,84,0.65,14.3,ok
UNH/AMZN/VZ/PEP/NFLX/TSLA,6,84,0.65,12.6,ok
UNH/AMZN/VZ/PEP/NFLX/TSLA,6,60,0.65,13.5,ok
CF/MDB/ALB/SHOP/DDOG/ORCL,6,36,0.6,15.4,ok
CF/MDB/ALB/SHOP/DDOG/ORCL,6,36,0.6,15.4,ok
CF/MDB/ALB/SHOP/DDOG/ORCL,6,36,0.6,16.7,ok
UNH/AMZN/VZ/PEP/NFLX/TSLA,6,60,0.6,10.9,ok
CF/MDB/ALB/ORCL,4,6,0.6,37.3,ok
CF/MDB/ALB/ORCL,4,6,0.6,35.3,ok
CF/MDB/ALB/ORCL,4,6,0.6,41.4,ok
ZG/MOS/LI/VIPS/VALE/DVN,6,60,0.6,33.5,ok
CF/MDB/ALB/ORCL,4,6,0.7,65.0,ok
ZG/MOS/LI/VIPS/VALE/DVN,6,60,0.6,,reject_leverage
ZG/MOS/LI/VIPS/VALE/DVN,6,60,0.6,,reject_leverage
